1;WOJEWÓDZTWO;TYP;NAZWA URZĘDU;KOD;MIASTO;ULICA;NR BUDYNKU / LOKALU;adres;POCZTA;NR TELEFONU   wraz z nr kierunkowym  ;NR FAXU;ADRES E-MAIL URZĘDU;kod jednostki;ADRESY STRON BIP JEDNOSTEK KAS
162;łódzkie;US;Urząd Skarbowy Łódź - Widzew;92-312;Łódź;Papiernicza;7;92-312 Łódź, Papiernicza 7;Łódź;(42) 275-08-00;(42) 275-09-08;us1014@ld.mofnet.gov.pl;1014;www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-widzew
163;łódzkie;US;Urząd Skarbowy w Opocznie;26-300;Opoczno;Piotrkowska ;14;26-300 Opoczno, Piotrkowska  14;Opoczno;(44) 755-31-01;(44) 755-24-45;us1015@ld.mofnet.gov.pl;1015;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-opocznie
164;łódzkie;US;Urząd Skarbowy w Pabianicach;95-200;Pabianice;Zamkowa ;26;95-200 Pabianice, Zamkowa  26;Pabianice;(42) 27-04-100;(42) 27-04-103;us1016@ld.mofnet.gov.pl;1016;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pabianicach
165;łódzkie;US;Urząd Skarbowy w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Wronia ;65;97-300 Piotrków Trybunalski, Wronia  65;Piotrków Trybunalski;(44) 645-01-00;(44) 649-90-36;us1017@ld.mofnet.gov.pl;1017;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-piotrkowie-trybunalskim
166;łódzkie;US;Urząd Skarbowy w Poddębicach;99-200;Poddębice;Gabriela Narutowicza ;12;99-200 Poddębice, Gabriela Narutowicza  12;Poddębice;(43) 678-77-00;(43) 678-77-01;us1018@ld.mofnet.gov.pl;1018;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-poddebicach
167;łódzkie;US;Urząd Skarbowy w Radomsku;97-500;Radomsko;Adama Mickiewicza ;4;97-500 Radomsko, Adama Mickiewicza  4;Radomsko;(44) 685-49-00;(44) 685-49-74;us1019@ld.mofnet.gov.pl;1019;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-radomsku
168;łódzkie;US;Urząd Skarbowy w Rawie Mazowieckiej;96-200;Rawa Mazowiecka;Juliusza Słowackiego ;4;96-200 Rawa Mazowiecka, Juliusza Słowackiego  4;Rawa Mazowiecka;(46) 814-47-46;(46) 814-47-44;us1020@ld.mofnet.gov.pl;1020;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-rawie-mazowieckiej
169;łódzkie;US;Urząd Skarbowy w Sieradzu;98-200;Sieradz;Spółdzielcza ;3;98-200 Sieradz, Spółdzielcza  3;Sieradz;(43) 826-56-00;(43) 826-56-99;us1021@ld.mofnet.gov.pl;1021;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-sieradzu
170;łódzkie;US;Urząd Skarbowy w Skierniewicach;96-100;Skierniewice;Czerwona ;22;96-100 Skierniewice, Czerwona  22;Skierniewice;(46) 834-63-00;(46) 834-63-94;us1022@ld.mofnet.gov.pl;1022;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-skierniewicach
171;łódzkie;US;Urząd Skarbowy w Tomaszowie Mazowieckim;97-200;Tomaszów Mazowiecki;Józefa Montwiłła Mireckiego ;37;97-200 Tomaszów Mazowiecki, Józefa Montwiłła Mireckiego  37;Tomaszów Mazowiecki;(44) 725-60-00;(44) 724-23-26;us1023@ld.mofnet.gov.pl;1023;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-mazowieckim
172;łódzkie;US;Urząd Skarbowy w Wieluniu;98-300 ;Wieluń;Krakowskie Przedmieście ;34;98-300  Wieluń, Krakowskie Przedmieście  34;Wieluń;(43) 843-91-36;(43) 843-91-59;us1024@ld.mofnet.gov.pl;1024;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieluniu
173;łódzkie;US;Urząd Skarbowy w Zduńskiej Woli;98-220;Zduńska Wola;Zielona ;15;98-220 Zduńska Wola, Zielona  15;Zduńska Wola;(43) 824-19-00;(43) 824-19-40;us1025@ld.mofnet.gov.pl;1025;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zdunskiej-woli
174;łódzkie;US;Urząd Skarbowy w Zgierzu;95-100 ;Zgierz;ks. Jerzego Popiełuszki ;8;95-100  Zgierz, ks. Jerzego Popiełuszki  8;Zgierz;(42) 270-10-00;(42) 270-10-01;us1026@ld.mofnet.gov.pl;1026;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zgierzu
175;łódzkie;US;Urząd Skarbowy w Wieruszowie;98-400;Wieruszów;Rynek ;12/13;98-400 Wieruszów, Rynek  12/13;Wieruszów;(62) 783-19-71;(62) 78-31-978;us1027@ld.mofnet.gov.pl;1027;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieruszowie
176;łódzkie;US;Urząd Skarbowy w Łęczycy;99-100;Łęczyca;al. Jana Pawła II ;17;99-100 Łęczyca, al. Jana Pawła II  17;Łęczyca;(24) 721-70-12;(24) 721-23-12;us1028@ld.mofnet.gov.pl;1028;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-leczycy
177;łódzkie;US;Urząd Skarbowy w Pajęcznie;98-330;Pajęczno;1 Maja ;9;98-330 Pajęczno, 1 Maja  9;Pajęczno;(34) 311-39-60;(34) 311-33-55;us1029@ld.mofnet.gov.pl;1029;www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pajecznie
178;łódzkie;WUS;Łódzki Urząd Skarbowy w Łodzi;90-436;Łódź;aleja Tadeusza Kościuszki ;85;90-436 Łódź, aleja Tadeusza Kościuszki  85;Łódź;(42) 253-05-00;(42) 253-05-05;us1071@ld.mofnet.gov.pl;1071;www.lodzkie.kas.gov.pl/lodzki-urzad-skarbowy-w-lodzi
179;łódzkie;UCS;Łódzki Urząd Celno-Skarbowy w Łodzi;91-315;Łódź;Ks. Stanisława Brzóski ;24;91-315 Łódź, Ks. Stanisława Brzóski  24;Łódź;42 654 11 31;426 54 13 86;uks.lodz@ld.mofnet.gov.pl;368000;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
180;łódzkie;DUCS;Delegatura UCS I w Łodzi;93-350;Łódź;Ustronna ;3/9;93-350 Łódź, Ustronna  3/9;Łódź;42 689 79 20;42 689 79 40;uc.lodz1@lod.mofnet.gov.pl;361000;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
181;łódzkie;OC;Oddział Celny I w Łodzi;93-350;Łódź;Ustronna ;3/9;93-350 Łódź, Ustronna  3/9;Łódź;42 689 79 33;42 689 79 86;oc361010@lod.mofnet.gov.pl;361010;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
182;łódzkie;OC;Oddział Celny w Sieradzu;98-200;Sieradz;Wojska Polskiego ;63;98-200 Sieradz, Wojska Polskiego  63;Sieradz;43 827 47 86;43 826 00 72;oc361030@lod.mofnet.gov.pl;361030;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
183;łódzkie;DUCS;Delegatura UCS II w Łodzi;91-341;Łódź;Św. Teresy od Dzieciątka Jezus ;106;91-341 Łódź, Św. Teresy od Dzieciątka Jezus  106;Łódź;42 616 25 22;42 616 25 76;uc.lodz2@lod.mofnet.gov.pl;362000;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
184;łódzkie;OC;Oddział Celny II w Łodzi;91-341;Łódź;Św. Teresy od Dzieciątka Jezus ;106;91-341 Łódź, Św. Teresy od Dzieciątka Jezus  106;Łódź;42 616 25 24;42 612 27 35;oc362010@lod.mofnet.gov.pl;362010;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
185;łódzkie;OC;Oddział Celny w Kutnie;99-300;Kutno;Holenderska ;14;99-300 Kutno, Holenderska  14;Kutno;24 253 86 53;24 253 86 52;oc362030@lod.mofnet.gov.pl;362030;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
186;łódzkie;OC;Oddział Celny Port Lotniczy Łódź-Lublinek;94-328;Łódź; Gen. Stanisława Maczka ;35;94-328 Łódź,  Gen. Stanisława Maczka  35;Łódź;42 253 14 19;42 253 14 18;urzadcelny@airport.lodz.pl;362040;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
187;łódzkie;DUCS;Delegatura UCS w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Dworska ;6A;97-300 Piotrków Trybunalski, Dworska  6A;Piotrków Trybunalski;44 649 32 41;44 649 32 90;uc.piotrowtrybunalski@lod.mofnet.gov.pl;363000;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
188;łódzkie;OC;Oddział Celny w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Dworska ;6A;97-300 Piotrków Trybunalski, Dworska  6A;Piotrków Trybunalski;44 649 32 68;44 649 32 70;oc363010@lod.mofnet.gov.pl;363010;www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
189;łódzkie;KIS;Delegatura Krajowej Informacji Skarbowej w Piotrkowie Trybunalskim;97-300;Piotrków Trybunalski;Wronia ;65;97-300 Piotrków Trybunalski, Wronia  65;Piotrków Trybunalski;(44) 645-01-51;(44) 647-58-96;kis.0113@ld.mofnet.gov.pl;0113;www.kis.gov.pl
190;małopolskie;IAS;Izba Administracji Skarbowej w Krakowie;31-007;Kraków;Wiślna ;7;31-007 Kraków, Wiślna  7;Kraków;(12) 255-73-00;(12) 422-43-86;is@mp.mofnet.gov.pl;1201;www.malopolskie.kas.gov.pl
191;małopolskie;US;Urząd Skarbowy w Bochni;32-700;Bochnia;Gołębia ;3;32-700 Bochnia, Gołębia  3;Bochnia;(14) 615-26-00 ;(14) 615-26-53 ;us1202@mp.mofnet.gov.pl ;1202;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-bochni
192;małopolskie;US;Urząd Skarbowy w Brzesku;32-800;Brzesko;Królowej Jadwigi ;16;32-800 Brzesko, Królowej Jadwigi  16;Brzesko;(14) 663-28-25;(14) 663-08-42;us1203@mp.mofnet.gov.pl;1203;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-brzesku
193;małopolskie;US;Urząd Skarbowy w Chrzanowie;32-500;Chrzanów;Garncarska ;9;32-500 Chrzanów, Garncarska  9;Chrzanów;(32) 625-71-00;(32) 627-62-62;us1204@mp.mofnet.gov.pl;1204;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-chrzanowie
194;małopolskie;US;Urząd Skarbowy w Dąbrowie Tarnowskiej;33-200;Dąbrowa Tarnowska;Berka Joselewicza ;5;33-200 Dąbrowa Tarnowska, Berka Joselewicza  5;Dąbrowa Tarnowska;(14) 642-20-31;(14) 642-55-31;us1205@mp.mofnet.gov.pl ;1205;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-dabrowie-tarnowskiej
195;małopolskie;US;Urząd Skarbowy w Gorlicach;38-300;Gorlice;Bardiowska ;9;38-300 Gorlice, Bardiowska  9;Gorlice;(18) 545-02-00;(18) 545-02-05;us1206@mp.mofnet.gov.pl;1206;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-gorlicach
196;małopolskie;US;Pierwszy Urząd Skarbowy Kraków;30-363;Kraków;Rzemieślnicza ;20;30-363 Kraków, Rzemieślnicza  20;Kraków;(12) 384-60-00;(12) 384-63-00 ;us1207@mp.mofnet.gov.pl ;1207;www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-krakowie
197;małopolskie;US;Urząd Skarbowy Kraków - Krowodrza;31-272;Kraków;Krowoderskich Zuchów ;2;31-272 Kraków, Krowoderskich Zuchów  2;Kraków;(12) 665-64-00;(12) 665-61-36;us1208@mp.mofnet.gov.pl;1208;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-krowodrza
198;małopolskie;US;Urząd Skarbowy Kraków - Nowa Huta;31-621;Kraków;os. Bohaterów Września ;80;31-621 Kraków, os. Bohaterów Września  80;Kraków;(12) 681-70-00 ;(12) 647-92-22 ;us1209@mp.mofnet.gov.pl ;1209 ;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-nowa-huta
199;małopolskie;US;Urząd Skarbowy Kraków - Podgórze;30-415;Kraków;Wadowicka ;10;30-415 Kraków, Wadowicka  10;Kraków;(12) 254-70-00;(12) 267-40-91;us1210@mp.mofnet.gov.pl;1210;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-podgorze
200;małopolskie;US;Urząd Skarbowy Kraków - Prądnik;31-272;Kraków;Krowoderskich Zuchów ;2;31-272 Kraków, Krowoderskich Zuchów  2;Kraków;(12) 665-61-00;(12) 665-67-51;us1211@mp.mofnet.gov.pl;1211;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-pradnik
201;małopolskie;US;Urząd Skarbowy Kraków - Stare Miasto;31-001;Kraków;Grodzka ;65;31-001 Kraków, Grodzka  65;Kraków;(12) 293-81-00;(12) 293-82-66;us1212@mp.mofnet.gov.pl;1212;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-stare-miasto
202;małopolskie;US;Urząd Skarbowy Kraków - Śródmieście;31-272;Kraków;Krowoderskich Zuchów ;2;31-272 Kraków, Krowoderskich Zuchów  2;Kraków;(12) 665-62-00;(12) 634-34-24;us1213@mp.mofnet.gov.pl ;1213;www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-srodmiescie
203;małopolskie;US;Urząd Skarbowy w Limanowej;34-600;Limanowa;Matki Boskiej Bolesnej ;9;34-600 Limanowa, Matki Boskiej Bolesnej  9;Limanowa;(18) 337-93-00;(18) 337-93-08;us1214@mp.mofnet.gov.pl ;1214;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-limanowej
204;małopolskie;US;Urząd Skarbowy w Miechowie;32-200;Miechów;Stanisławy Daneckiej ;1;32-200 Miechów, Stanisławy Daneckiej  1;Miechów;(41) 382-23-00;(41) 382-23-41;us1215@mp.mofnet.gov.pl;1215;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-miechowie
205;małopolskie;US;Urząd Skarbowy w Myślenicach;32-400;Myślenice;Hipolita Cegielskiego ;2;32-400 Myślenice, Hipolita Cegielskiego  2;Myślenice;(12) 274-24-20;"(12) 272-41-00; (12) 272-41-11";us1216@mp.mofnet.gov.pl;1216;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-myslenicach
206;małopolskie;US;Urząd Skarbowy w Nowym Sączu;33-300 ;Nowy Sącz;Władysława Barbackiego  ;10;33-300  Nowy Sącz, Władysława Barbackiego   10;Nowy Sącz;(18) 547-38-08;(18) 547-38-01;us1217@mp.mofnet.gov.pl;1217;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-saczu
207;małopolskie;US;Urząd Skarbowy w Nowym Targu;34-400;Nowy Targ;Parkowa ;13;34-400 Nowy Targ, Parkowa  13;Nowy Targ;(18) 263-04-00;(18) 266-29-33;us1218@mp.mofnet.gov.pl;1218;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-targu
208;małopolskie;US;Urząd Skarbowy w Olkuszu;32-300;Olkusz;Budowlanych ;2;32-300 Olkusz, Budowlanych  2;Olkusz;(32) 645-02-20;(32) 641-38-14;us1219@mp.mofnet.gov.pl;1219;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-olkuszu
209;małopolskie;US;Urząd Skarbowy w Oświęcimiu;32-600;Oświęcim;Plebańska ;2;32-600 Oświęcim, Plebańska  2;Oświęcim;(33) 846-64-40;(33) 846-64-41;us1220@mp.mofnet.gov.pl;1220;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-oswiecimiu
210;małopolskie;US;Urząd Skarbowy w Proszowicach;32-100;Proszowice;Mikołaja Reja ;1;32-100 Proszowice, Mikołaja Reja  1;Proszowice;(12) 386-13-10;(12) 386-10-03;us1221@mp.mofnet.gov.pl;1221;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-proszowicach
211;małopolskie;US;Urząd Skarbowy w Suchej Beskidzkiej;34-200;Sucha Beskidzka;Adama Mickiewicza ;36;34-200 Sucha Beskidzka, Adama Mickiewicza  36;Sucha Beskidzka;(33) 874-45-01;(33) 874-35-29;us1222@mp.mofnet.gov.pl;1222;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-suchej-beskidzkiej
212;małopolskie;US;Pierwszy Urząd Skarbowy w Tarnowie;33-100;Tarnów;Lwowska ;72-96A;33-100 Tarnów, Lwowska  72-96A;Tarnów;(14) 630-23-00;(14) 630-23-10;us1223@mp.mofnet.gov.pl;1223;www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-tarnowie
213;małopolskie;US;Drugi Urząd Skarbowy w Tarnowie ;33-100;Tarnów;Al.Solidarności ;5-9B;33-100 Tarnów, Al.Solidarności  5-9B;Tarnów;(14) 632-82-00;(14) 632-82-22;us1224@mp.mofnet.gov.pl;1224;www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-w-tarnowie
214;małopolskie;US;Urząd Skarbowy w Wadowicach;34-100;Wadowice;Legionów ;22;34-100 Wadowice, Legionów  22;Wadowice;(33) 872-39-00;(33) 873-26-10;us1225@mp.mofnet.gov.pl;1225;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wadowicach
215;małopolskie;US;Urząd Skarbowy w Wieliczce;32-020;Wieliczka;Zamkowa ;2;32-020 Wieliczka, Zamkowa  2;Wieliczka;(12) 279-85-00;(12) 279-86-66;us1226@mp.mofnet.gov.pl;1226;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wieliczce
216;małopolskie;US;Urząd Skarbowy w Zakopanem;34-500;Zakopane;Szymony ;14;34-500 Zakopane, Szymony  14;Zakopane;(18) 202-15-00;(18) 202-15-83;us1227@mp.mofnet.gov.pl;1227;www.malopolskie.kas.gov.pl/urzad-skarbowy-w-zakopanem
217;małopolskie;US;Drugi Urząd Skarbowy Kraków;31-272;Kraków;Krowoderskich Zuchów ;2;31-272 Kraków, Krowoderskich Zuchów  2;Kraków;(12) 665-63-00;(12) 631-54-50;us1228@mp.mofnet.gov.pl;1228;www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-krakow
218;małopolskie;WUS;Małopolski Urząd Skarbowy w Krakowie;31-621;Kraków;os. Bohaterów Września ;80;31-621 Kraków, os. Bohaterów Września  80;Kraków;(12) 681-70-00;(12) 647-70-56;mus@mp.mofnet.gov.pl;1271;www.malopolskie.kas.gov.pl/malopolski-urzad-skarbowy-w-krakowie
219;małopolskie;UCS;Małopolski Urząd Celno-Skarbowy w Krakowie;30-016;Kraków;Władysława Łokietka ;20;30-016 Kraków, Władysława Łokietka  20;Kraków;12 299 21 00;12 299 22 00;ucs@mp.mofnet.gov.pl;358000;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
220;małopolskie;DUCS;Delegatura UCS w Krakowie;30-741;Kraków;Nad Drwiną ;16;30-741 Kraków, Nad Drwiną  16;Kraków;12 627 60 67;12627 60 66;ucs.delegatura1@mp.mofnet.gov.pl;351000;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
221;małopolskie;OC;Oddział Celny II w Krakowie;30-741;Kraków;Nad Drwiną ;16;30-741 Kraków, Nad Drwiną  16;Kraków;12 627 60 57;12 627 60 66;oc.krakow@mp.mofnet.gov.pl;351020;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
222;małopolskie;OC;Oddział Celny Port Lotniczy Kraków-Balice;32-083;Balice;kpt.Medweckiego ;2;32-083 Balice, kpt.Medweckiego  2;Kraków;12 639 32 32;12 28 55 53;oc.balice@mp.mofnet.gov.pl;351030;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
223;małopolskie;OC;Oddział Celny w Chyżnem;34-481;Chyżne;Chyżne ;297;34-481 Chyżne, Chyżne  297;Chyżne ;18 266 25 23, 18 261 33 65;18 266 28 35;oc.chyzne@mp.mofnet.gov.pl;351050;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
224;małopolskie;OC;Oddział Celny w Andrychowie;34-120;Andrychów;Przemysłowa ;8;34-120 Andrychów, Przemysłowa  8;Andrychów;33 875 27 2333 875 80 03;33 875 27 23;oc.andrychow@mp.mofnet.gov.pl;351060;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
225;małopolskie;DUCS;Delegatura UCS w Nowym Sączu;33-300;Nowy Sącz;Józefa Piłsudskiego ;50;33-300 Nowy Sącz, Józefa Piłsudskiego  50;Nowy Sącz;18 449 53 00;18 449 53 17;ucs.delegatura2@mp.mofnet.gov.pl;353000;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
226;małopolskie;OC;Oddział Celny w Nowym Sączu;33-300;Nowy Sącz;Józefa Piłsudskiego ;50;33-300 Nowy Sącz, Józefa Piłsudskiego  50;Nowy Sącz;18 449 53 32;18 449 53 36;oc.nowysacz@mp.mofnet.gov.pl;353010;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
227;małopolskie;OC;Oddział Celny w Tarnowie;33-100;Tarnów;Przemysłowa ;27;33-100 Tarnów, Przemysłowa  27;Tarnów;14 629 80 85;14 629 80 30 ;oc.tarnow@mp.mofnet.gov.pl;353030;www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
228;mazowieckie;IAS;Izba Administracji Skarbowej w Warszawie;01-513;Warszawa;Alojzego Felińskiego ;2B;01-513 Warszawa, Alojzego Felińskiego  2B;Warszawa;"(22) 561-80-01; (22) 561-80-02";(22) 561-80-93;is@mz.mofnet.gov.pl;1401;www.mazowieckie.kas.gov.pl
229;mazowieckie;US;Urząd Skarbowy w Białobrzegach;26-800;Białobrzegi;Władysława Reymonta ;46;26-800 Białobrzegi, Władysława Reymonta  46;Białobrzegi;"(48) 613-29-92; (48) 613-28-92";(48) 613-28-92;us1402@mz.mofnet.gov.pl;1402;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-bialobrzegach
230;mazowieckie;US;Urząd Skarbowy w Ciechanowie;06-400;Ciechanów;Warszawska ;58;06-400 Ciechanów, Warszawska  58;Ciechanów;(23) 674-19-00;(23) 674-19-03;us1403@mz.mofnet.gov.pl;1403;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ciechanowie
231;mazowieckie;US;Urząd Skarbowy w Garwolinie;08-400;Garwolin;Senatorska ;30;08-400 Garwolin, Senatorska  30;Garwolin;(25) 682-39-30;(25) 682-38-28;us1404@mz.mofnet.gov.pl;1404;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-garwolinie
232;mazowieckie;US;Urząd Skarbowy w Gostyninie;09-500;Gostynin;Płocka ;10;09-500 Gostynin, Płocka  10;Gostynin;(24) 235-89-74;(24) 235-69-51;us1405@mz.mofnet.gov.pl;1405;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-gostyninie
233;mazowieckie;US;Urząd Skarbowy w Grodzisku Mazowieckim;05-825;Grodzisk Mazowiecki;Daleka ;11;05-825 Grodzisk Mazowiecki, Daleka  11;Grodzisk Mazowiecki;(22) 770-61-61;(22) 770-61-60;us1406@mz.mofnet.gov.pl;1406;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grodzisku-mazowieckim
234;mazowieckie;US;Urząd Skarbowy w Grójcu;05-600;Grójec;Ks. Piotra Skargi ;35;05-600 Grójec, Ks. Piotra Skargi  35;Grójec;"(48) 665-09-00; (48) 665-09-95";(48) 665-09-03;us1407@mz.mofnet.gov.pl;1407;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grojcu
235;mazowieckie;US;Urząd Skarbowy w Kozienicach;26-900;Kozienice;Parkowa ;5;26-900 Kozienice, Parkowa  5;Kozienice;"(48) 611-24-05; (48) 611-22-61; (48) 611-24-05";(48) 614-28-33;us1408@mz.mofnet.gov.pl;1408;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-kozienicach
236;mazowieckie;US;Urząd Skarbowy w Legionowie;05-120;Legionowo;Józefa Piłsudskiego ;43C;05-120 Legionowo, Józefa Piłsudskiego  43C;Legionowo;(22) 768-66-00;(22) 768-66-66;us1409@mz.mofnet.gov.pl;1409;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-legionowie
237;mazowieckie;US;Urząd Skarbowy w Łosicach;08-200;Łosice;11 Listopada ;1;08-200 Łosice, 11 Listopada  1;Łosice;(83) 359-00-32;(83) 357-34-41;us1410@mz.mofnet.gov.pl;1410;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-losicach
238;mazowieckie;US;Urząd Skarbowy w Makowie Mazowieckim;06-200;Maków Mazowiecki;Kopernika ;6C;06-200 Maków Mazowiecki, Kopernika  6C;Maków Mazowiecki;(29) 765-07-00;(29) 717-49-74;us1411@mz.mofnet.gov.pl;1411;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-makowie-mazowieckim
239;mazowieckie;US;Urząd Skarbowy w Mińsku Mazowieckim;05-300;Mińsk Mazowiecki;Szczecińska ;2;05-300 Mińsk Mazowiecki, Szczecińska  2;Mińsk Mazowiecki;(25) 759-51-00;(25) 758-28-52;us1412@mz.mofnet.gov.pl;1412;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-minsku-mazowieckim
240;mazowieckie;US;Urząd Skarbowy w Mławie;06-500;Mława;Gabriela Narutowicza ;19/7;06-500 Mława, Gabriela Narutowicza  19/7;Mława;(23) 654-34-98;(23) 655-14-38;us1413@mz.mofnet.gov.pl;1413;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-mlawie
241;mazowieckie;US;Urząd Skarbowy w Nowym Dworze Mazowieckim;05-100;Nowy Dwór Mazowiecki;Legionów ;7;05-100 Nowy Dwór Mazowiecki, Legionów  7;Nowy Dwór Mazowiecki;(22) 765-90-40;(22) 765-90-99;us1414@mz.mofnet.gov.pl;1414;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-nowym-dworze-mazowieckim
242;mazowieckie;US;Urząd Skarbowy w Ostrołęce;07-400;Ostrołęka;Przechodnia ;6;07-400 Ostrołęka, Przechodnia  6;Ostrołęka;(29) 746-41-00;(29) 746-41-03;us1415@mz.mofnet.gov.pl;1415;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrolece
243;mazowieckie;US;Urząd Skarbowy w Ostrowi Mazowieckiej;07-300;Ostrów Mazowiecka;Stanisława Duboisa ;1;07-300 Ostrów Mazowiecka, Stanisława Duboisa  1;Ostrów Mazowiecka;(29) 645-20-00;(29) 645-20-01;us1416@mz.mofnet.gov.pl;1416;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrowi-mazowieckiej
244;mazowieckie;US;Urząd Skarbowy w Otwocku;05-400;Otwock;Jana Matejki ;4;05-400 Otwock, Jana Matejki  4;Otwock;(22) 778-23-01;(22) 778-23-08;us1417@mz.mofnet.gov.pl;1417;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-otwocku
245;mazowieckie;US;Urząd Skarbowy w Piasecznie;05-500;Piaseczno;Energetyczna ;5;05-500 Piaseczno, Energetyczna  5;Piaseczno;(22) 726-67-00;(22) 726-68-54;us1418@mz.mofnet.gov.pl;1418;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-piasecznie
246;mazowieckie;US;Urząd Skarbowy w Płocku;09-402;Płock;1 Maja ;10;09-402 Płock, 1 Maja  10;Płock;(24) 361-65-00;(24) 361-65-45;us1419@mz.mofnet.gov.pl;1419;www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plocku
